TEXT,cOPN,cCON,cEXT,cAGR,cNEU
I often worry about the future and what might go wrong. Small problems can feel overwhelming when my anxiety takes over. Sleep sometimes escapes me when my mind is racing.,3.0695166334168857,2.5456943325509593,3.031758805713983,4.126966220400701,4.798556573162511
"I approach relationships analytically too, trying to understand patterns and dynamics. Communication should be clear and unambiguous. Misunderstandings often arise from imprecise language.",3.2,4.5,2.5,3.0,2.0
"I express myself through multiple creative outlets - writing, painting, music, design. Each medium offers a different way to communicate emotions and ideas. Artistic expression is essential to my wellbeing.",4.535148050457732,2.3228722712255667,3.5416083874213973,3.1709620270056442,2.6965086968804806
Leadership requires making tough decisions that others avoid. I am not afraid to take responsibility and face consequences. Accountability is essential.,3.567106179204131,4.394965736691836,4.095850604789741,2.141884016149978,2.214054102814335
I believe in working systematically rather than sporadically. Consistent effort over time produces better results than occasional bursts of activity. Patience and persistence pay off.,2.8,4.9,3.0,3.2,2.2
"I make detailed to-do lists and feel immense satisfaction checking items off. Goals should be specific, measurable, and time-bound. Vague aspirations rarely lead to concrete results.",3.052666499992494,4.679552457469329,2.7790540918580984,3.229579538314731,2.2743519478733627
I love being the center of attention at parties and events. Making people laugh brings me joy. Social situations where I can engage with many people simultaneously are exciting.,3.5260715460412686,2.6414588294579415,4.769283422555137,3.9075317415511797,2.150699976378214
Large crowds and social events exhaust me quickly. I need time to recharge after social interactions. Small gatherings with close friends are preferable.,3.712410319192888,3.2271265341354827,1.888180119582113,3.2082832658221485,3.401100068823237
"Stress manifests physically for me - headaches, tension, difficulty breathing. I feel emotions in my body before I can name them. Self-care is essential but often neglected.",3.4542673729400173,2.4961672442964864,2.8355912783686796,3.604606928398497,4.6596686639202165
I believe in working systematically rather than sporadically. Consistent effort over time produces better results than occasional bursts of activity. Patience and persistence pay off.,2.8319883037726843,5.0,2.685584511061567,3.4088223220016225,2.2330132629408883
Technology fascinates me endlessly. I spend hours learning about new frameworks and programming languages. The possibilities of artificial intelligence excite me tremendously.,4.065752826492484,3.9548944459790363,2.716898252681509,3.123720549492764,2.2212760598400796
"When faced with a decision, I gather all available information and analyze it carefully. Emotional responses can cloud judgment, so I try to remain objective. Critical thinking is the most valuable skill anyone can develop.",2.8251433485493873,4.609128329011025,2.351484784861061,3.006856552931762,2.3260531791408745
"I read extensively across philosophy, psychology, and spirituality. Different traditions offer unique perspectives on truth. Wisdom transcends cultural boundaries.",4.857008375949678,2.514400898132581,2.6996385947036647,3.738185810678571,3.393912582957656
Consciousness is the greatest mystery. How does subjective experience arise from physical matter? Understanding the mind would change everything.,4.624839800133511,2.5387968402840175,2.7038012183354536,3.741156620978363,3.413674861523658
"I express myself through multiple creative outlets - writing, painting, music, design. Each medium offers a different way to communicate emotions and ideas. Artistic expression is essential to my wellbeing.",4.76862301442618,2.265066974724634,3.6914158888384603,3.5027338166838855,3.1523158629034924
Gardens and plants bring life to any space. Growing food connects me to the earth. Patience in nurturing plants teaches valuable lessons.,3.9113843773534307,2.9831003699867993,2.5774815015102077,4.5425456784911615,3.14331161601237
I enjoy debugging code because it requires systematic elimination of possibilities. Each error has a logical cause that can be identified through careful analysis. The satisfaction of finding the root cause is immensely rewarding.,3.1339288025190233,4.277686248376584,2.195892293866946,2.8700921371229025,2.3543277631300152
I value both solitude and connection. Too much of either feels unbalanced. Knowing when to engage and when to withdraw is wisdom.,3.814461327739894,3.085056385489241,3.2488728015426,3.6799790789653946,2.9071352808835766
I enjoy mentoring others and sharing insights from my journey. Teaching deepens my own understanding. Knowledge grows when shared freely.,4.483563614480121,2.86148590490616,2.7711853585335096,3.194967276407289,3.884454581648579
I care so much about what others think of me. Social situations can be exhausting because I analyze every interaction afterward. Did I say the wrong thing? Did they like me?,3.197739811206742,2.894277792160971,3.0951239875829746,4.056487797311064,4.424309647757469
Deep conversations with one person interest me more than surface-level chatter with many. Quality over quantity applies to relationships too. I have few but meaningful friendships.,3.7290225595072264,3.2610910257087795,1.606896667910431,3.2317650827458366,3.064172051897198
My moods fluctuate throughout the day. I can feel on top of the world in the morning and completely defeated by evening. Emotional stability seems to come easily to others but not to me.,3.5720949571488365,2.4039519847475272,3.161449428338591,4.1112959502524005,5.0
Scientific methodology provides the best framework for understanding the world. Hypotheses should be tested rigorously before drawing conclusions. I trust peer-reviewed research over anecdotal evidence.,3.342051489473826,4.113270263142285,2.509674446639425,2.7811966201583505,2.11613823232756
Technology fascinates me endlessly. I spend hours learning about new frameworks and programming languages. The possibilities of artificial intelligence excite me tremendously.,4.552627616402487,3.8055363503694677,2.4275296574536145,3.2487028648063347,2.7686607423284126
"I balance logic with intuition in my decisions. Sometimes analysis is needed, other times gut feelings guide me better. Both have their place.",3.4176669958169947,3.116358485164496,3.6127958355365104,3.9384821582141547,3.1617777324716387
"I balance logic with intuition in my decisions. Sometimes analysis is needed, other times gut feelings guide me better. Both have their place.",3.0768030483144218,3.354666204985083,3.5506633794408513,3.403207756133252,3.3336440104751723
"Art and music speak to my soul in ways words cannot express. I find inspiration everywhere - in nature, in conversations, in random moments of daily life. Creativity flows when I allow myself to be open to new experiences.",4.4945318620973245,2.6573897322913203,3.9031542774239067,3.8019776108216425,3.188056835043109
Team projects excite me because of the collaborative energy. Combining different strengths and perspectives leads to better outcomes. I love coordinating group activities and bringing people together.,3.79477438071833,2.9899449585996107,5.0,4.439884204757853,2.440170803575387
"I approach relationships analytically too, trying to understand patterns and dynamics. Communication should be clear and unambiguous. Misunderstandings often arise from imprecise language.",3.151177136564509,4.162765105073813,2.1202805947323657,3.3701187317423402,2.2687840964097648
Consciousness is the greatest mystery. How does subjective experience arise from physical matter? Understanding the mind would change everything.,4.750542890598675,3.0713443159842386,2.528543667769476,3.1199773296936395,3.4592310143441005
I care so much about what others think of me. Social situations can be exhausting because I analyze every interaction afterward. Did I say the wrong thing? Did they like me?,2.9417198315579087,2.954100761780931,3.070492231718488,4.355691375579219,4.946598422631716
I have always been driven to succeed and lead others. Taking charge comes naturally to me. I set ambitious goals and work tirelessly to achieve them.,3.49833654277231,4.810927264212319,4.202467160623869,2.4594797936317137,2.0686918307628153
"I surround myself with other ambitious people. Your network determines your net worth. Mediocrity is contagious, but so is excellence.",4.140955254745426,4.282941423682887,4.30749095109735,2.2776606965546566,1.8573359917276389
I genuinely care about others' wellbeing and check in regularly. Remembering birthdays and small details matters. Relationships require consistent nurturing and attention.,3.469245979535832,3.1074652958616746,3.597343091617298,4.981169372090403,3.3934479610794908
I care so much about what others think of me. Social situations can be exhausting because I analyze every interaction afterward. Did I say the wrong thing? Did they like me?,3.334074708450868,3.046276753553007,3.0098281078212925,4.238250919086908,4.748466651850347
Death makes life meaningful. Awareness of mortality clarifies what truly matters. I try to live with this awareness rather than denying it.,5.0,3.1273402112428683,2.6511024612120218,3.652844650191409,3.3173065450194956
"Technology should solve real problems, not create new ones. I focus on practical applications rather than theoretical concepts. Impact matters more than elegance.",4.046236665344597,4.131030755098608,2.8622520136020047,2.8613940336240327,2.3835399590344437
I embrace uncertainty rather than fear it. Not knowing what comes next is exciting. Life is too short for predictability and safety.,5.0,2.342935965338052,4.089535992670292,3.574928632966831,2.108104947222195
The world is a canvas of infinite possibilities waiting to be explored. I love pushing boundaries and challenging conventional thinking. Innovation comes from questioning everything we take for granted.,4.432583041855176,2.7843684672088056,3.9629262875040188,3.47933906326986,2.678267328520801
Team projects excite me because of the collaborative energy. Combining different strengths and perspectives leads to better outcomes. I love coordinating group activities and bringing people together.,3.406510822599598,3.01513416422627,4.537572773420044,3.933026695004864,2.6904268931410966
My career trajectory has been upward from the start. I sought promotions and opportunities aggressively. Ambition is not a dirty word.,3.632403604537136,4.475990614526349,4.512112909916812,2.666177080214022,1.6497625809317622
I question assumptions that others accept without thought. Conventional wisdom often turns out to be neither. Independent thinking requires courage.,4.408227596748554,2.9728399785937154,2.96499693004421,3.598151632759838,3.8920870768694926
Large crowds and social events exhaust me quickly. I need time to recharge after social interactions. Small gatherings with close friends are preferable.,3.1946689527387098,3.4279239117570306,2.071841828508494,3.4070663615464354,3.2574978169817492
"Life has taught me to be adaptable. Some days require structure, others call for spontaneity. Flexibility is a strength.",3.8739498660690104,3.0928951088931793,3.0286524275776543,3.8832523923125564,2.711302536589023
"Reliability is my most valued trait. When I commit to something, people know they can count on me. My word is my bond, and I take promises seriously.",2.9666903813720276,5.0,3.157977169335427,3.3441126174082405,2.2948891025721476
Traditional rules sometimes need to be broken. I believe in experimentation and taking creative risks. Failure is just another step toward discovering something truly original.,5.0,2.159037251788319,3.8430834275210564,3.875442028495279,3.0184782753361192
I avoid conflict whenever possible and strive to maintain harmony. Understanding different perspectives helps me find common ground. Compromise is not weakness but wisdom.,3.3437433112784327,3.164735426441002,3.722384143012129,4.538819611989207,3.1559608711219695
"Trying new foods, activities, and experiences brings me alive. I say yes to opportunities even when they scare me. Comfort zones are meant to be expanded.",5.0,2.4764834903919257,4.35399426133538,3.4439448619121187,2.638373297915546
Simple living allows more time for contemplation. Material excess distracts from what matters most. Clarity comes from removing rather than adding.,4.642628712679426,3.1460439027354496,2.494915012593264,3.846999538401176,3.6470931614682747
"My workspace is always clean and organized. Everything has its place, and I become uncomfortable when things are messy or chaotic. Order brings clarity to my thinking.",2.779371373325971,5.0,3.2756395188280565,3.0552803785946048,2.463132379320542
Leadership requires making tough decisions that others avoid. I am not afraid to take responsibility and face consequences. Accountability is essential.,3.8,4.5,4.2,2.5,2.0
Simple living allows more time for contemplation. Material excess distracts from what matters most. Clarity comes from removing rather than adding.,4.862105403475538,2.6873669975861523,3.058841781289455,3.7565569286134233,3.4818803184979212
I enjoy automating repetitive tasks because efficiency matters. Why do something manually when code can do it better? Laziness drives innovation.,4.466264301430617,4.124869648385008,2.1097254171819095,3.139215935247034,2.141468639295783
My empathy is both a gift and a burden. I understand others deeply but take on their emotional weight. Setting boundaries is something I constantly struggle with.,2.8765716444161296,2.418910868837069,2.9135772003546125,4.0856752288710245,4.8373579301712555
I express my thoughts openly and enjoy lively debates. Sharing ideas with others helps me refine my own thinking. Silence in social situations makes me uncomfortable.,3.284859837270457,3.1375141948789826,4.515768430203492,3.8832868655876593,2.7399328682985518
I value both solitude and connection. Too much of either feels unbalanced. Knowing when to engage and when to withdraw is wisdom.,3.642730925427907,3.1345762671041077,2.7944188976604813,4.131518333112224,3.218397542081558
My moods fluctuate throughout the day. I can feel on top of the world in the morning and completely defeated by evening. Emotional stability seems to come easily to others but not to me.,3.549284553835969,2.4314748325348075,2.4976879312080214,3.9617592226267484,5.0
